,0
0,-1.6
-1,6.509999999997672
-2,4.5
-3,0.9199999999953434
-4,0.9
-5,1.1
-6,0.47000000000698494
-7,0.95
-8,1.629999999993015
-9,1.0900000000023282
-10,0.9400000000023283
-11,1.5200000000069849
-12,1.1400000000023283
-13,0.5
-14,0.9599999999976717
-15,0.9799999999930151
-16,1.0599999999976717
-17,1.0099999999976716
-18,0.9600000000093132
-19,1.0200000000069849
-20,0.879999999993015
-21,0.8599999999976717
-22,0.9
-23,0.9099999999976717
-24,0.9800000000046566
-25,0.9599999999976717
-26,0.9799999999930151
-27,0.85
-28,0.8
-29,0.95
-30,0.9
-31,4.230000000004656
-32,0.85
-33,-2.6
-34,0.8900000000023283
-35,0.85
-36,0.7300000000046566
-37,-33.58000000000466
-38,0.46999999999534336
-39,-14.8
-40,1.0900000000023282
-41,50.740000000002325
-42,0.8800000000046566
-43,0.8400000000023283
-44,0.7899999999906868
-45,0.8
-46,0.7300000000046566
-47,0.7599999999976716
-48,0.8099999999976717
-49,0.8400000000023283
-50,0.8800000000046566
-51,0.7900000000023283
-52,0.7699999999953434
-53,0.7400000000023284
-54,0.7300000000046566
-55,1.4099999999976718
-56,0.7799999999930151
-57,0.2
-58,0.7300000000046566
-59,0.7400000000023284
-60,0.8599999999976717
-61,0.879999999993015
-62,0.8900000000023283
-63,0.9400000000023283
-64,0.9599999999976717
-65,0.8599999999976717
-66,0.8400000000023283
-67,0.8200000000069849
-68,0.8199999999953433
-69,0.9
-70,0.85
-71,1.8199999999953433
-72,1.0300000000046565
-73,0.059999999997671694
-74,1.0
-75,1.0099999999976716
-76,1.0400000000023284
-77,1.0
-78,0.95
-79,1.0200000000069849
-80,1.0
-81,1.05
-82,1.1
-83,0.9199999999953434
-84,0.879999999993015
-85,0.9800000000046566
-86,1.0800000000046566
-87,0.9799999999930151
-88,0.8699999999953434
-89,0.9900000000023284
-90,0.9700000000069849
-91,0.9599999999976717
-92,0.9599999999976717
-93,0.9400000000023283
-94,0.9800000000046566
-95,1.0200000000069849
-96,0.9899999999906868
-97,0.9899999999906868
-98,1.0300000000046565
-99,1.1
